,Geographic area,City_x,share_white,share_black,share_native_american,share_asian,share_hispanic,city,Geographic Area_x,City_y,Median Income,Geographic Area_y,City_x,poverty_rate,Geographic Area,City_y,percent_completed_hs
116,AK,Goldstream CDP,89,0.6,3.4,0.7,2.5,AK-Goldstream CDP,AK,Goldstream CDP,88371,AK,Goldstream CDP,3.7,AK,Goldstream CDP,97.3
117,AK,Golovin city,4.5,0,92.9,0,0.6,AK-Golovin city,AK,Golovin city,40000,AK,Golovin city,39.4,AK,Golovin city,90.4
118,AK,Goodnews Bay city,4.5,0,94.7,0,0.4,AK-Goodnews Bay city,AK,Goodnews Bay city,30313,AK,Goodnews Bay city,36.2,AK,Goodnews Bay city,58.6
119,AK,Grayling city,6.7,0,87.1,0,0,AK-Grayling city,AK,Grayling city,20417,AK,Grayling city,42,AK,Grayling city,70.4
120,AK,Gulkana CDP,23.5,0,76.5,0,4.2,AK-Gulkana CDP,AK,Gulkana CDP,(X),AK,Gulkana CDP,7.8,AK,Gulkana CDP,91.2
121,AK,Gustavus city,91.4,0,2.7,1.1,1.6,AK-Gustavus city,AK,Gustavus city,57639,AK,Gustavus city,8.1,AK,Gustavus city,95.6
122,AK,Haines CDP,81.1,0.6,11.2,0.5,1.7,AK-Haines CDP,AK,Haines CDP,69735,AK,Haines CDP,5.1,AK,Haines CDP,95.4
123,AK,Halibut Cove CDP,86.8,0,6.6,0,1.3,AK-Halibut Cove CDP,AK,Halibut Cove CDP,-,AK,Halibut Cove CDP,0,AK,Halibut Cove CDP,100
124,AK,Happy Valley CDP,87.5,0.2,5.9,0.3,2,AK-Happy Valley CDP,AK,Happy Valley CDP,41625,AK,Happy Valley CDP,15.5,AK,Happy Valley CDP,91.4
125,AK,Harding-Birch Lakes CDP,93.3,0.3,3.3,0,2.7,AK-Harding-Birch Lakes CDP,AK,Harding-Birch Lakes CDP,51042,AK,Harding-Birch Lakes CDP,4.2,AK,Harding-Birch Lakes CDP,94.5
126,AK,Healy CDP,91.5,0.4,2.1,1.6,2.1,AK-Healy CDP,AK,Healy CDP,88462,AK,Healy CDP,6.8,AK,Healy CDP,93.6
127,AK,Healy Lake CDP,15.4,0,84.6,0,0,AK-Healy Lake CDP,AK,Healy Lake CDP,-,AK,Healy Lake CDP,-,AK,Healy Lake CDP,-
128,AK,Hobart Bay CDP,0,0,100,0,0,AK-Hobart Bay CDP,AK,Hobart Bay CDP,-,AK,Hobart Bay CDP,-,AK,Hobart Bay CDP,-
129,AK,Hollis CDP,89.3,0,4.5,0.9,0.9,AK-Hollis CDP,AK,Hollis CDP,103571,AK,Hollis CDP,4.8,AK,Hollis CDP,89.5
130,AK,Holy Cross city,4.5,0,91.6,0,0,AK-Holy Cross city,AK,Holy Cross city,36094,AK,Holy Cross city,13.1,AK,Holy Cross city,86.1
131,AK,Homer city,89.3,0.4,4.1,1,2.1,AK-Homer city,AK,Homer city,55849,AK,Homer city,12.6,AK,Homer city,95.9
132,AK,Hoonah city,32.6,0.4,52.5,0.5,3,AK-Hoonah city,AK,Hoonah city,57708,AK,Hoonah city,16.4,AK,Hoonah city,87.7
133,AK,Hooper Bay city,1.9,0,94.6,0,0,AK-Hooper Bay city,AK,Hooper Bay city,35938,AK,Hooper Bay city,40.9,AK,Hooper Bay city,75
134,AK,Hope CDP,88,0,4.2,0.5,3.1,AK-Hope CDP,AK,Hope CDP,-,AK,Hope CDP,0,AK,Hope CDP,100
135,AK,Houston city,82.2,0.4,6.7,0.6,3.3,AK-Houston city,AK,Houston city,50438,AK,Houston city,14.8,AK,Houston city,90.2
136,AK,Hughes city,1.3,2.6,96.1,0,0,AK-Hughes city,AK,Hughes city,32500,AK,Hughes city,21,AK,Hughes city,92.6
137,AK,Huslia city,6.5,0,92.4,0,0,AK-Huslia city,AK,Huslia city,42000,AK,Huslia city,24.5,AK,Huslia city,93.1
138,AK,Hydaburg city,11.4,0.5,77.1,0,3.2,AK-Hydaburg city,AK,Hydaburg city,31250,AK,Hydaburg city,17.3,AK,Hydaburg city,90.1
139,AK,Hyder CDP,90.8,0,1.1,0,2.3,AK-Hyder CDP,AK,Hyder CDP,-,AK,Hyder CDP,46.2,AK,Hyder CDP,53.8
140,AK,Igiugig CDP,28,0,40,0,12,AK-Igiugig CDP,AK,Igiugig CDP,51250,AK,Igiugig CDP,6.1,AK,Igiugig CDP,90.3
141,AK,Iliamna CDP,33,0,54.1,0,3.7,AK-Iliamna CDP,AK,Iliamna CDP,68750,AK,Iliamna CDP,15.8,AK,Iliamna CDP,88.7
142,AK,Ivanof Bay CDP,0,0,100,0,0,AK-Ivanof Bay CDP,AK,Ivanof Bay CDP,-,AK,Ivanof Bay CDP,-,AK,Ivanof Bay CDP,-
143,AK,Juneau city and borough,69.7,0.9,11.8,6.1,5.1,AK-Juneau city and borough,AK,Juneau city and borough,85746,AK,Juneau city and borough,6.6,AK,Juneau city and borough,94.8
144,AK,Kachemak city,91.7,0,4,1.3,2.1,AK-Kachemak city,AK,Kachemak city,70625,AK,Kachemak city,8.9,AK,Kachemak city,92.6
145,AK,Kake city,17.1,0.2,69.1,0,1.8,AK-Kake city,AK,Kake city,40417,AK,Kake city,21.8,AK,Kake city,85.7
146,AK,Kaktovik city,10,0,88.7,0,0,AK-Kaktovik city,AK,Kaktovik city,48125,AK,Kaktovik city,4.1,AK,Kaktovik city,76.5
